Year,Y,X1,X2
1991,0.796,19.737,1.1
1992,0.802,21.687,1.1
1993,0.808,25.531,1.1
1994,0.814,28.787,1.1
1995,0.82,27.086,1.1
1996,0.825,27.55,1.2
1997,0.831,28.941,1.2
1998,0.837,26.171,1.2
1999,0.843,26.318,1.2
2000,0.849,20.629,1.2
2001,0.852,18.009,1.2
2002,0.856,18.935,1.2
2003,0.859,17.25,1.2
2004,0.862,19.758,1.2
2005,0.866,20.279,1.3
2006,0.869,21.328,1.3
2007,0.872,18.831,1.3
2008,0.875,18.326,1.3
2009,0.879,22.945,1.3
2010,0.882,22.55,1.3
2011,0.884,21.936,1.3
2012,0.886,23.651,1.3
2013,0.889,24.055,1.3
